departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out,source,target
AEB,KWE,2018,AEBKWE2018,2,23.718051000000003,106.96485200000001,26.538521000000003,106.800697,0.032183908,0.471264368,64.0,0.00022947,65,0.000133519,"[23.718051000000003, 106.96485200000001]","[26.538521000000003, 106.800697]"
AEB,KWL,2015,AEBKWL2015,2,23.718051000000003,106.96485200000001,25.2181,110.039101,0.039408867,0.448275862,185.0,0.000463296,186,0.000460119,"[23.718051000000003, 106.96485200000001]","[25.2181, 110.039101]"
AEB,KWL,2016,AEBKWL2016,2,23.718051000000003,106.96485200000001,25.2181,110.039101,0.037383177999999996,0.49065420600000004,195.0,0.000576415,194,0.000577289,"[23.718051000000003, 106.96485200000001]","[25.2181, 110.039101]"
AEB,KWL,2017,AEBKWL2017,2,23.718051000000003,106.96485200000001,25.2181,110.039101,0.03539823,0.53539823,174.0,0.00061097,178,0.000625617,"[23.718051000000003, 106.96485200000001]","[25.2181, 110.039101]"
AEB,KWL,2018,AEBKWL2018,2,23.718051000000003,106.96485200000001,25.2181,110.039101,0.032183908,0.303448276,276.0,0.000170533,277,9.77e-05,"[23.718051000000003, 106.96485200000001]","[25.2181, 110.039101]"
AEB,PVG,2015,AEBPVG2015,2,23.718051000000003,106.96485200000001,31.14337,121.805199,0.039408867,1.004926108,10.0,0.0015376160000000001,13,0.001541118,"[23.718051000000003, 106.96485200000001]","[31.14337, 121.805199]"
AEB,SZX,2016,AEBSZX2016,2,23.718051000000003,106.96485200000001,22.63925,113.8106,0.037383177999999996,0.962616822,65.0,0.0012706430000000001,64,0.001253239,"[23.718051000000003, 106.96485200000001]","[22.63925, 113.8106]"
AEB,SZX,2017,AEBSZX2017,2,23.718051000000003,106.96485200000001,22.63925,113.8106,0.03539823,0.955752212,104.0,0.0011858889999999999,104,0.001198665,"[23.718051000000003, 106.96485200000001]","[22.63925, 113.8106]"
AEB,SZX,2018,AEBSZX2018,2,23.718051000000003,106.96485200000001,22.63925,113.8106,0.032183908,0.63908046,103.0,0.00038788099999999997,103,0.00019277700000000001,"[23.718051000000003, 106.96485200000001]","[22.63925, 113.8106]"
AHJ,CKG,2015,AHJCKG2015,2,32.526648,102.359218,29.719209999999997,106.641602,0.019704433,0.985221675,21.0,0.002378414,21,0.0024479379999999998,"[32.526648, 102.359218]","[29.719209999999997, 106.641602]"
AHJ,CKG,2016,AHJCKG2016,2,32.526648,102.359218,29.719209999999997,106.641602,0.018691588999999998,0.9953271029999999,92.0,0.0022859210000000002,92,0.002300589,"[32.526648, 102.359218]","[29.719209999999997, 106.641602]"
AHJ,CKG,2017,AHJCKG2017,2,32.526648,102.359218,29.719209999999997,106.641602,0.017699115,1.039823009,27.0,0.002132974,28,0.002125418,"[32.526648, 102.359218]","[29.719209999999997, 106.641602]"
AHJ,CKG,2018,AHJCKG2018,2,32.526648,102.359218,29.719209999999997,106.641602,0.018390805,0.6965517240000001,10.0,0.00081955,10,0.000474872,"[32.526648, 102.359218]","[29.719209999999997, 106.641602]"
