departure,arrival,year,string,bi-direction,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_centrality,arrival_centrality,flights_in,airline_centrality_in,flights_out,airline_centrality_out
AQG,HRB,2018,AQGHRB2018,2,30.580776,117.055412,45.623402,126.250298,0.059770115,0.452873563,77,0.000174755,77,0.000114397
AQG,KMG,2015,AQGKMG2015,2,30.580776,117.055412,25.101944,102.929169,0.078817734,0.926108374,43,0.000701119,43,0.000700513
AQG,KMG,2016,AQGKMG2016,2,30.580776,117.055412,25.101944,102.929169,0.074766355,1.037383178,161,0.000736143,161,0.000732801
AQG,KMG,2017,AQGKMG2017,2,30.580776,117.055412,25.101944,102.929169,0.097345133,1.026548673,205,0.000527352,207,0.000530252
AQG,KMG,2018,AQGKMG2018,2,30.580776,117.055412,25.101944,102.929169,0.059770115,0.64137931,191,0.000220222,191,0.00013165
AQG,KWE,2018,AQGKWE2018,2,30.580776,117.055412,26.538521,106.800697,0.059770115,0.471264368,27,0.000107296,26,0.0000751
AQG,KWL,2018,AQGKWL2018,2,30.580776,117.055412,25.2181,110.039101,0.059770115,0.303448276,278,0.0000653,279,0.0000485
AQG,NGB,2015,AQGNGB2015,2,30.580776,117.055412,29.826679,121.461899,0.078817734,0.389162562,43,0.000235073,43,0.000230586
AQG,NGB,2016,AQGNGB2016,2,30.580776,117.055412,29.826679,121.461899,0.074766355,0.378504673,160,0.000193336,161,0.000197022
AQG,NGB,2017,AQGNGB2017,2,30.580776,117.055412,29.826679,121.461899,0.097345133,0.508849558,206,0.0002196,205,0.000199579
AQG,NGB,2018,AQGNGB2018,2,30.580776,117.055412,29.826679,121.461899,0.059770115,0.365517241,190,0.0000797,190,0.0000438
AQG,PEK,2015,AQGPEK2015,2,30.580776,117.055412,40.084152,116.592735,0.078817734,1.295566502,314,0.00114346,315,0.001165787
AQG,PEK,2016,AQGPEK2016,2,30.580776,117.055412,40.084152,116.592735,0.074766355,1.242990654,361,0.00106287,365,0.001054668
AQG,PEK,2017,AQGPEK2017,2,30.580776,117.055412,40.084152,116.592735,0.097345133,1.154867257,347,0.000712175,350,0.000710623
AQG,PEK,2018,AQGPEK2018,2,30.580776,117.055412,40.084152,116.592735,0.059770115,0.887356322,359,0.000552335,359,0.000157637
AQG,SHA,2015,AQGSHA2015,2,30.580776,117.055412,31.196099,121.339766,0.078817734,0.748768473,301,0.00041897,301,0.00043827
AQG,SHA,2016,AQGSHA2016,2,30.580776,117.055412,31.196099,121.339766,0.074766355,0.719626168,317,0.000386417,317,0.000371614
AQG,SHA,2017,AQGSHA2017,2,30.580776,117.055412,31.196099,121.339766,0.097345133,0.668141593,351,0.00024161,352,0.000246295
AQG,SHA,2018,AQGSHA2018,2,30.580776,117.055412,31.196099,121.339766,0.059770115,0.35862069,347,0.0000804,346,0.0000646
AQG,SZX,2017,AQGSZX2017,2,30.580776,117.055412,22.63925,113.8106,0.097345133,0.955752212,143,0.000396849,143,0.000399666
AQG,TAO,2018,AQGTAO2018,2,30.580776,117.055412,36.266102,120.374397,0.059770115,0.445977011,27,0.000126191,28,0.0000804
AQG,TVS,2017,AQGTVS2017,2,30.580776,117.055412,39.720066,118.006926,0.097345133,0.168141593,141,0.0000862,141,0.0000857
AQG,XIY,2015,AQGXIY2015,2,30.580776,117.055412,34.438157,108.764819,0.078817734,1.024630542,159,0.000880583,160,0.000848602
